year_month,state,district,enrolment_total,demographic_total,biometric_total,demo_update_rate,bio_update_rate,update_imbalance,demo_mom_delta,bio_mom_delta,z_demo_update_rate,z_bio_update_rate,stat_anomaly
2025-01,Andaman & Nicobar Islands,Andamans,3,33.0,1019.0,8.25,254.75,-0.936372269705603,,,-0.772178263737519,2.0323599496469997,True
2025-04,Andaman and Nicobar Islands,Nicobar,4,8.0,58.0,1.6,11.6,-0.746268656716418,-30.0,9.0,-0.7880343627111651,-0.359336533428334,True
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,4,921.0,4176.0,184.2,835.2,-0.638485680659082,,,3.169361598482972,3.1728142214059627,True
2025-01,Andaman and Nicobar Islands,South Andaman,8,633.0,6296.0,70.33333333333333,699.5555555555555,-0.8171717171717172,,,2.4297280618396333,3.003500021065124,True
2025-01,Andhra Pradesh,Adilabad,50,5853.0,26157.0,114.76470588235294,512.8823529411765,-0.6342819655743338,,,2.9960758000547894,3.1708749159341627,True
2025-01,Andhra Pradesh,Alluri Sitharama Raju,15,5446.0,11152.0,340.375,697.0,-0.3437556479305982,,,3.173716359128816,3.17241310954877,True
2025-01,Andhra Pradesh,Anakapalli,13,4717.0,4069.0,336.92857142857144,290.6428571428572,0.0737453055650392,,,3.1175347349099494,3.173242472310437,True
2025-03,Andhra Pradesh,Anakapalli,18,436.0,73.0,22.94736842105263,3.842105263157895,0.711764705882353,25.0,-14.0,-0.3694496168809254,-0.3315257388038728,True
2025-07,Andhra Pradesh,Anakapalli,5,464.0,32.0,77.33333333333333,5.333333333333333,0.869215291750503,51.0,-103.0,0.2345451662132364,-0.3133026040958283,True
2025-01,Andhra Pradesh,Anantapur,104,23439.0,54481.0,223.22857142857143,518.8666666666667,-0.3983778442268451,,,3.1588958813001478,3.1715345721026584,True
2025-01,Andhra Pradesh,Ananthapur,36,10534.0,61739.0,284.7027027027027,1668.6216216216217,-0.7084843788914409,,,3.15630946266444,3.1744834553156007,True
2025-01,Andhra Pradesh,Ananthapuramu,57,32335.0,83413.0,557.5,1438.155172413793,-0.4412824300857891,,,3.173662587999228,3.175182502994139,True
2025-01,Andhra Pradesh,Annamayya,12,20756.0,5952.0,1596.6153846153843,457.84615384615387,0.5542700962222472,,,3.174519295214442,3.175151153088087,True
2025-03,Andhra Pradesh,Annamayya,20,646.0,103.0,30.761904761904763,4.904761904761905,0.724,36.0,-50.0,-0.2668297867219743,-0.2873846183998026,True
2025-07,Andhra Pradesh,Annamayya,12,593.0,46.0,45.61538461538461,3.5384615384615383,0.8546875,-32.0,-98.0,-0.2341856026300393,-0.297829377869973,True
2025-01,Andhra Pradesh,Bapatla,10,6061.0,3161.0,551.0,287.3636363636364,0.3144313130217933,,,3.163722253386472,3.1556083391390097,True
2025-07,Andhra Pradesh,Bapatla,8,344.0,59.0,38.22222222222222,6.555555555555555,0.7054455445544554,-25.0,-55.0,-0.2219597064572773,-0.3317288045393384,True
2025-01,Andhra Pradesh,Chittoor,163,87043.0,162842.0,530.75,992.939024390244,-0.3033343204501252,,,3.170398433078823,3.17295296438966,True
2025-01,Andhra Pradesh,Cuddapah,135,27759.0,110947.0,204.11029411764707,815.7867647058823,-0.5997390182182586,,,3.15404018874213,3.173899543976008,True
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,12,4652.0,3731.0,357.84615384615387,287.0,0.1098520992366412,,,3.128984339623284,3.156786403640598,True
2025-07,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,9,498.0,49.0,49.8,4.9,0.8193430656934306,179.0,-75.0,-0.0282910580056238,-0.3281755792496718,True
2025-01,Andhra Pradesh,East Godavari,171,68086.0,194787.0,395.8488372093023,1132.4825581395348,-0.4819837640846945,,,3.164307716541688,3.173863152819515,True
2025-01,Andhra Pradesh,Eluru,6,5330.0,5236.0,761.4285714285714,748.0,0.0088956184347496,,,3.1683660071021253,3.174766179479509,True
2025-02,Andhra Pradesh,Eluru,28,652.0,107.0,22.48275862068965,3.689655172413793,0.7171052631578947,-4678.0,-5129.0,-0.317061773204959,-0.3048546108419438,True
2025-07,Andhra Pradesh,Eluru,11,700.0,49.0,58.333333333333336,4.083333333333333,0.868,225.0,-67.0,-0.1479633266373893,-0.303014181345094,True
2025-01,Andhra Pradesh,Guntur,187,89212.0,195052.0,474.531914893617,1037.5106382978724,-0.3723286370112395,,,3.1706582228381985,3.174137748130199,True
2025-01,Andhra Pradesh,Hyderabad,139,8250.0,62988.0,58.92857142857143,449.9142857142857,-0.7683712573169191,,,3.0665250631286645,3.1718845940387133,True
2025-01,Andhra Pradesh,K.v. Rangareddy,1,6.0,65.0,3.0,32.5,-0.8194444444444444,,,0.0,1.079018022433127,True
2025-01,Andhra Pradesh,Kakinada,20,13899.0,7003.0,661.8571428571429,333.4761904761905,0.3299047983543032,,,3.16878468607682,3.170841617959114,True
2025-07,Andhra Pradesh,Kakinada,14,805.0,111.0,53.66666666666666,7.4,0.7568157033805889,278.0,-81.0,-0.1297638005368669,-0.2888107641600657,True
2025-01,Andhra Pradesh,Karim Nagar,3,68.0,603.0,17.0,150.75,-0.7961309523809523,,,0.4970624277799533,3.144838601504982,True
2025-01,Andhra Pradesh,Karimnagar,20,1291.0,7685.0,61.47619047619048,365.95238095238096,-0.7122646763952323,,,2.832625709124589,3.1713654643124998,True
2025-01,Andhra Pradesh,Khammam,48,6969.0,22798.0,142.22448979591837,465.265306122449,-0.5317454985219027,,,3.0515181047478075,3.1720747338643536,True
2025-01,Andhra Pradesh,Krishna,133,43114.0,152991.0,321.74626865671644,1141.7238805970148,-0.560293922674472,,,3.167844584108606,3.174448150866343,True
2025-01,Andhra Pradesh,Kurnool,276,100584.0,239993.0,363.1191335740072,866.4007220216606,-0.409330608553694,,,3.17252973612489,3.1741649142212336,True
2025-01,Andhra Pradesh,Mahbubnagar,26,1720.0,6495.0,63.7037037037037,240.55555555555557,-0.5811830574488802,,,2.6117499723528,3.1631875325381618,True
2025-01,Andhra Pradesh,Medak,40,2233.0,10159.0,54.46341463414634,247.78048780487805,-0.6395545872670055,,,2.5898321580720216,3.155534788847678,True
2025-01,Andhra Pradesh,N. T. R,16,19915.0,9005.0,1171.470588235294,529.7058823529412,0.3772345354586632,,,3.158358186520794,3.174586007722123,True
2025-02,Andhra Pradesh,N. T. R,38,1056.0,183.0,27.07692307692308,4.6923076923076925,0.7040322580645161,-18859.0,-8822.0,-0.3170906691536385,-0.3089504905612554,True
2025-07,Andhra Pradesh,N. T. R,6,992.0,109.0,141.71428571428572,15.571428571428571,0.8012704174228675,283.0,-64.0,0.0310555177097959,-0.2367660433759587,True
2025-01,Andhra Pradesh,Nalgonda,38,3604.0,14092.0,92.4102564102564,361.3333333333333,-0.5926428208170876,,,2.224776632196785,3.170256646630792,True
2025-01,Andhra Pradesh,Nandyal,22,17518.0,6434.0,761.6521739130435,279.7391304347826,0.4627395315826828,,,3.1700284263667364,3.1607136800472837,True
2025-07,Andhra Pradesh,Nandyal,22,529.0,86.0,23.0,3.739130434782609,0.7191558441558441,218.0,-62.0,-0.2735783254186874,-0.3461492375079232,True
2025-01,Andhra Pradesh,Nellore,149,19391.0,105306.0,129.27333333333334,702.04,-0.6889845867616161,,,3.116606577716983,3.1742029232354723,True
2025-01,Andhra Pradesh,Nizamabad,13,724.0,5244.0,51.71428571428572,374.57142857142856,-0.7572457698106886,,,2.4301292525039804,3.1732851354821885,True
